fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
香石竹,2017,,,,,,,,,,,,,
香石竹,2017,3.84,4.4,3.04,3.16,3.92,3.38,4.39,4.39,3.92,5.02,4.56,4.30,3.84
天堂鳥,2017,11,12.67,9.33,9.33,7.33,7.67,9.33,9.33,5.67,8,9,11,11.33
夜來香,2017,3.75,6.17,3.58,2.83,2,3.5,3.83,3.83,4,5.50,4.83,3.67,3.83
唐菖蒲,2017,2.28,5.52,3.2,4.28,2.77,3.42,4.82,4.82,5.43,5.49,3.53,3.67,2.57
葵百合,2017,,,,,,28.78,21.89,21.89,,14.96,18.46,22.91,19.70
姬百合,2017,,,,,,,,,,,,,
香水百合,2017,16.48,34.11,23.98,24.33,24.67,28.19,21.21,21.21,22.48,23.73,23.05,25.45,25.14
香水百合,2017,17.25,29.17,24.32,21.83,21.67,24,,,,,19.50,21.33,23
大理花,2017,,,,,,,17,17,,,,,
聖誕紅,2017,,,,,,,,,,,,75,74.17
蘿蔔,2016,6.44,14.28,16.77,13.40,11.87,13.25,14.64,14.64,9.88,10,20.01,20,9.15
白玉蘿蔔,2016,,,,,,,,,,,,,
胡蘿蔔,2016,16.63,15.63,15.36,18.17,20.08,23,24.23,24.23,24.53,25.50,38.67,37.83,27.67
山藥,2016,40.50,40,40,40,,,,,,50.83,52.83,43.83,41
牛蒡,2016,,,27.67,26.33,,,,,,,,,
生薑,2016,,,,,61.67,51,51.50,51.50,48,42.33,35.50,,
生薑,2016,42.17,52.01,45.89,36.38,33.63,28.33,43.33,43.33,52,43.33,43.33,40,35
芋頭,2016,56.11,60.29,65,75.33,64,56.67,50,50,46.67,45,39.38,39.49,36.05
綠竹筍,2016,,,,124.50,126.30,75.68,88.97,88.97,71.53,60.47,89.33,,
烏殼綠竹筍,2016,,,,47.33,34.67,26.67,26.67,26.67,26,25,55.67,,
麻竹筍,2016,36.67,40,50,42.78,42.50,30.61,24.75,24.75,25.33,23.92,59.78,35,16
桂竹筍,2016,,,,31.02,29.75,,,,,,,,
轎篙筍,2016,,,,,32,32,,,,,,,
白蘆筍,2016,,,,,86.67,98.33,153.83,153.83,147,145.50,112.67,,
綠蘆筍,2016,,,124.17,138.06,150.48,116.25,115.56,115.56,121.67,126.11,153.89,186.67,200
茭白筍,2016,,90,94,85,60.67,58.33,56.67,56.67,59,66.67,62,71.67,
大芥菜,2016,11.55,29.25,,,,,,,,,,,
馬鈴薯,2016,21.04,25.32,23.92,24.42,24.53,24.50,25.27,25.27,25.70,26.17,27.17,29,22.70
加工麻竹筍,2016,,,,,,20.22,14.17,14.17,11.32,11.64,,,
青蔥,2016,85.46,88.48,73.37,40.40,25.99,21.23,21.65,21.65,27.26,42.47,100.09,76.63,50.77
青蔥,2016,,,,,,,,,,,,,
蔥頭,2016,,,,,,,,,,,,,
洋蔥,2016,12.50,13,14.46,16.12,23.53,25,25,25,,,,,16
洋蔥,2016,,,,,,,,,,,,,
青蒜,2016,61.50,90.63,59.62,59.38,,,,,,,,,70.29
蒜頭,2016,,78,75.80,106.09,156.16,135.13,118.81,118.81,127.18,135.18,143.49,143.02,144.83
荸薺,2016,,,,,,,,,,,,,
韭菜,2016,39.56,43.17,43.22,33.22,21.78,23.56,27.67,27.67,30.11,44.11,92.44,68,42.33
韭黃,2016,,,,,,,,,,,,,
蕹菜,2016,41.76,66.23,57.13,41.77,20.38,20.33,23.29,23.29,20.35,35.23,50,38.77,36
芹菜,2016,29.17,57.72,33.68,53.63,23.33,,,,,,,,
甘藍,2016,7.57,21.75,30.41,22.99,11.38,13.05,15.01,15.01,26.41,26.05,26.67,46.95,13.54
甘藍芽,2016,,,,,,,,,,,,,
小白菜,2016,27.06,47,27.70,19.26,17.08,20.67,24.50,24.50,15,31.50,47.99,19.19,15.03
青江白菜,2016,25.56,43.72,30.69,27.33,12.58,17.63,22.19,22.19,16.82,23.78,48.50,23.35,13.69
結球白菜,2016,9.86,25.62,24.63,13.83,11.20,13.52,14.52,14.52,19.57,18.03,27.05,24.74,9.23
結球白菜,2016,,,,,,,,,,,,,
菠菜,2016,28.38,50.97,37.23,35.85,,42.28,71.67,71.67,54.07,53.80,75.18,47.87,22.13
芥藍,2016,,,,,,,,,,,,,
莧菜,2016,33.22,,52.35,39.97,18.83,25.15,27.43,27.43,23.40,30.60,55.69,44.23,30.71
本島萵苣,2016,24,52.45,36.72,24.26,16.87,,,,,,,,
萵苣,2016,18.92,45.80,23.62,19.18,12.03,,,,,,,,
茼萵,2016,41.67,44.44,24.70,17,,,,,,,69.50,49.44,34.59
花椰菜,2016,15.55,29.63,35.84,28.36,32.29,32.75,35.73,35.73,38.44,42.89,69.37,70.03,29.11
青花苔,2016,20.86,36.38,37.67,32.88,,,,,,,,,
金針菜,2016,580.67,579,548.83,533.33,551.67,531.11,553.33,553.33,557.33,602.56,608.45,628.67,600.83
越瓜,2016,,,,,,,,,,,,,
胡瓜,2016,24.98,58.46,50.44,19.73,7.27,10.18,18.26,18.26,18.18,20.99,46.95,26.35,8.71
胡瓜,2016,,,,,,,,,,,,,
花胡瓜,2016,38.56,95.12,74.06,25.69,14.26,29,45.38,45.38,29.32,36.28,89.56,41.25,18.71
冬瓜,2016,15,16,30.85,35.28,15.83,8.67,8,8,8,9,16.55,24.25,19.33
苦瓜,2016,35.02,69.38,84.49,45.50,29.71,24.46,22.73,22.73,25.38,39.85,92.58,68.66,48.79
絲瓜,2016,,,,,,,,,,,,,
絲瓜,2016,28.65,49.30,43.15,37.08,17.32,15.62,17.48,17.48,16.82,19.08,52.58,35.03,25.05
扁蒲,2016,14.05,38.42,35.83,26.60,9.29,,,,,,43.17,34,14.80
茄子,2016,28.53,37.75,31.09,27.55,19.86,24.28,20.91,20.91,25.58,38.43,97.55,46.92,54.73
番茄,2016,25.66,34.80,43.38,44.95,48,36.67,23.33,23.33,26.35,37,61.03,90.50,60.42
小蕃茄,2016,73.45,39.50,54.22,71.67,64.33,58.33,45.67,45.67,73.33,65,79,157.06,104.78
甜椒,2016,24.83,43.46,42.89,37.96,22.33,35.93,34.78,34.78,20.50,33.88,79.90,95.18,43.38
西瓜,2016,,,,24.34,21.68,12.59,20.78,20.78,17.25,,,,
西瓜,2016,,,25,20.47,21.50,11.57,18.17,18.17,21.83,7.81,25,,
西瓜,2016,,,,,,,,,,,,,
洋香瓜,2016,37.42,37,52.36,53.31,38.83,27.08,32.20,32.20,29.43,25.25,39.72,54.33,35
洋香瓜,2016,,,,,,,,,,,,,
洋香瓜,2016,,,,,,,,,,,,,
洋香瓜,2016,,,,,,,,,,,,,
香瓜,2016,,,69.67,46.33,39.53,38.87,42.23,42.23,44.60,33.80,25.56,52.50,
敏豆,2016,53.07,95.42,74,59.50,52.42,55.23,74.93,74.93,86.86,106.59,140.20,96.83,49.29
豇豆,2016,35.67,53.50,51.22,52.33,28,19.71,30.42,30.42,40.40,43.67,81.13,70.67,33.33
豌豆,2016,62.55,118.54,70,98.33,,,,,,,,121.58,82.63
甜豌豆,2016,59,103.25,67.33,74,,,,,,,,,
毛豆,2016,22.84,19.20,19.20,19.20,17.92,,,,,,,,
菜豆,2016,,,,,,,,,,,,,
辣椒,2016,42.50,48.75,87.09,92.91,75.64,53.50,81.20,81.20,87.67,95.67,111.37,151.34,103.68
玉米筍,2016,,,,,,,,,,,,,
甜玉米,2016,19.37,26.24,26.97,24.34,18.61,14.34,15.97,15.97,20.63,14.88,27.19,55.27,23.53
蓮藕,2016,81.50,,,,,,,,45.67,38.33,41.33,41.33,40.67
草莓,2016,235.56,266.67,185.56,95,,,,,,,,,115.67
洋菇,2016,65.22,77.50,66.33,109.67,112.33,105.33,97.67,97.67,92.67,85,99.17,113,111.67
香菇,2016,1368.61,1438.75,1420,1453.33,1475.83,1454.17,1455,1455,1450.83,1467.50,1436.67,1435.83,1448.33
香菇,2016,92.11,93.17,92.33,94.89,96.67,95.67,97.34,97.34,97.34,98.11,97.33,96.78,96.56
木耳,2016,64.50,76.25,76.33,67.67,50.33,49.33,46,46,58,55,54.67,62.50,63.33
鮑魚菇,2016,,,,,,,,,,,,,
杏鮑菇,2016,,,,,,66.45,62.78,62.78,67.89,78.56,72.67,77.22,73.89
菱角,2016,,,,,,,,,,,,,
葡萄柚,2016,19.33,24.50,29,23.67,,,,,,17,20.11,20.51,19.58
芒果,2016,,,61.66,69.69,82.04,60.46,,,,,,,
芒果,2016,,,,96.67,107.50,105.68,95.90,95.90,95.11,,,,
芒果,2016,,,,,61.90,55.96,51.51,51.51,69.42,,,,
番石榴,2016,,,,,,,,,,,,,
番石榴,2016,,,,,,,,,,,,,
番石榴,2016,38.80,24.52,38.43,18.65,26.28,33.32,20.47,20.47,18.13,44.82,47.27,47.33,60.23
番石榴,2016,,,,,,,,,,,,,
蓮霧,2016,56.75,58.31,62.75,54.18,50.66,55.50,,,,,,82.94,64.46
枇杷,2016,,85,139.25,124.44,,,,,,,,,
荔枝,2016,,,,,,53.80,80,80,,,,,
荔枝,2016,,,,,,,,,,,,,
荔枝,2016,,,,,173.78,125.79,,,,,,,
龍眼,2016,,,,,,,93,93,65.41,43.75,,,
棗子,2016,51.01,46.02,56.14,,,,,,,,,,59.75
番荔枝,2016,58.76,65.09,74.75,,,,130,130,90,60,93,84.36,82.47
鳳梨釋迦,2016,,,,,,,,,,,,,
楊桃,2016,33.67,31.25,27,37.50,,,,,27,28.33,27.17,41.67,40
楊桃,2016,,,,,,,,,,,,,
酪梨,2016,,,,,,87.33,71.44,71.44,71.44,67.67,69.67,85,93.67
椰子,2016,5.67,5.46,5.59,5.96,6.89,7.50,7.94,7.94,8.06,7,6.92,6.50,6.25
檳榔,2016,0.96,1.57,1.78,2.25,3.87,4.31,2.47,2.47,1.09,1.30,1.07,0.96,0.98
彌猴桃,2016,,,,,,,,,,,,,
木瓜,2016,26.47,23.60,26.65,37.77,38.51,28.23,31.42,31.42,33.89,33.91,43.66,49.70,55.40
百香果,2016,,,,,,73,76.17,76.17,79.83,55,63.50,66.67,
香蕉,2016,39.17,48.20,57.33,37.79,25.58,18.12,19.12,19.12,37.46,35.17,33.66,40.25,63.19
香蕉,2016,,,,,,,,,,,,,
鳳梨,2016,,,,,,23.37,20.25,20.25,20.17,20,16.77,16.87,
鳳梨,2016,25.25,14.75,15.89,17.30,27.17,33.21,23.39,23.39,29.94,27.95,19.75,28.50,24.08
鳯梨,2016,,,,,,,,,,,,,
鳳梨,2016,,,,,,,,,,,,,
紅龍果,2016,,,,,96.67,65.58,39.60,39.60,55.45,39.61,51.48,73.15,
椪柑,2016,39.48,27.50,,,,,,,,,44.34,35.69,31.49
桶柑,2016,30.90,26.82,21.75,,,,,,,,,,
文旦,2016,,,,,,,,,43.59,42.14,,,
柳橙,2016,19.88,19.07,21.95,,,,,,,,22.82,22.13,23.61
檸檬,2016,16.78,13.30,22.67,23.96,29.82,31.83,20.83,20.83,11.74,12.25,26.40,55.76,62.98
檸檬,2016,,,,,,,,,,,,,
海梨柑,2016,24.38,23.75,,,,,,,,,,,
茂谷柑,2016,50.57,43.08,48.83,35,,,,,,,,,
白柚,2016,,,,,,,,,,28.33,28.42,29.44,36.67
金柑,2016,43.28,68.50,75.67,,,,,,,,,44.75,40.33
李,2016,,,,,,,,,,,,,
李,2016,,,,,,47.67,,,,,,,
鶯歌桃,2016,,,,,,39.70,,,,,,,
甜桃,2016,,,,65,88,,,,,,,,
水蜜桃,2016,,,,,,,89.57,89.57,92.17,,,,
牛心柿,2016,,,,,,,,,,28,26.67,25.25,
甜柿,2016,,,,,,,,,,,88.76,72.56,63.64
紅柿,2016,,,,,,,,,27.15,24.45,22.82,,
青梅,2016,,,,58.84,54.10,,,,,,,,
青梅,2016,,,,20.42,20.50,,,,,,,,
橫山梨,2016,,,,,,,,,,,,,
新世紀梨,2016,,,,,,,,,70,67.67,65,,
豐水梨,2016,,,,,,72.83,83.42,83.42,,,,,
幸水梨,2016,,,,,,,,,,,,,
新興梨,2016,,,,,,,66.48,66.48,70.49,70.36,,,
五爪蘋果,2016,,,,,,,,,,,,,
金冠蘋果,2016,,,,,,,,,,,,,
富士蘋果,2016,,,,,,,,,,,,,
巨峰葡萄,2016,70.75,,92.67,90,96.67,81.89,70.92,70.92,78.75,87.33,69.50,65.02,67.33
落花生,2016,71.25,67.83,67.50,69.84,69.47,61.81,63.61,63.61,66.88,61.15,63.88,75.37,72.67
花生仁,2016,119.26,,,,,,,,,,,118.33,114.62
紅豆,2016,76.34,78.30,,,,,,,,,,,96.66
綠豆,2016,80.17,80.50,80.17,80.67,91.75,95.08,80.17,80.17,80.33,80.17,80.17,80.33,
花豆,2016,,,,,,,,,,,,,
甘藷,2016,27.08,22.65,20.93,17.45,16.95,14.76,15.19,15.19,19.25,15.54,15.90,16.85,14.43
烏龍茶菁,2016,,,195,250.21,258.02,202.78,133,133,152.33,158.20,199.70,276.28,
烏龍茶菁,2016,,,,89.17,86.83,59.17,44.40,44.40,21.60,21.60,58.30,59.87,
金萱茶菁,2016,,,132.56,148.19,146.53,116.22,75,75,75,92.22,107.08,150.42,
金萱茶菁,2016,,,,51.44,48.37,44.11,35.51,35.51,22.80,22.80,43.53,44.28,
蓮子,2016,,,,,,583,563.67,563.67,570.67,570,551.67,,
荖花,2016,,,,,,,,,,,,,
蜂蜜,2016,,,,,,,,,,,,,
紅甘蔗,2016,10.91,10.69,11.75,12.11,10.78,10.22,9.88,9.88,10.90,10.26,11.75,11.64,11.57
芝麻,2016,233.04,235.50,250,250,227.02,228.87,250,250,250,250,250,250,244.13
紅茶,2016,,,,,,,,,,,,,
綠茶,2016,,,,,,,,,,,,,
文心蘭,2016,4.64,7.09,8.56,9.90,10.49,5.76,6.13,6.13,6.71,3.98,3.73,7.80,6
菊花,2016,4.57,10.46,8.18,9.99,7.55,4.51,5.67,5.67,8.17,5.19,8.21,10.53,7.43
菊,2016,3.38,7.68,5.88,7.03,7.67,4.17,3.13,3.13,5.17,3.66,5.14,7.90,4.94
玫瑰,2016,5.43,6.64,9.11,4.20,3.66,3.92,3.33,3.33,4.44,4.36,6.19,5.64,4.47
火鶴,2016,11.75,14,14.43,12.87,8.83,8,10.24,10.24,10.81,9.29,11.03,11.39,10.20
非洲菊,2016,2.72,6.45,3.13,2.98,2.48,3.11,4.08,4.08,4.35,5.17,6.62,5.86,4.04
滿天星,2016,63.68,73.50,70.67,70.33,77.33,52.50,45.67,45.67,70.33,81.50,137.17,82,63.67
卡斯比亞,2016,45,106,77.33,75.17,57.33,41.33,40,40,61.33,54.33,94,86.67,90.67
香石竹,2016,,,,,,,,,,,,,
香石竹,2016,3.81,8.25,6,6.39,3.79,2.03,2.20,2.20,3.67,2.94,3.80,4.75,3.25
天堂鳥,2016,13.67,23,12.67,9.83,11.33,10.67,14.75,14.75,8,7.33,17.67,14,9.50
夜來香,2016,2.83,7,5.83,6.50,3.83,2.57,2.83,2.83,3.98,6.03,4.67,4.40,3.83
唐菖蒲,2016,2.80,7.53,5.81,8.84,3.75,3.82,4.63,4.63,5.54,6.77,6.04,5.47,4.38
葵百合,2016,,,,,,14.97,15.93,15.93,28.46,30.43,20.80,24.57,
姬百合,2016,,,,,,,,,,,,,
香水百合,2016,13.49,36,30.97,30.44,24.67,20.30,18.26,18.26,31.53,34,23.92,25.44,20.43
香水百合,2016,15.17,39.50,31.17,30.67,22.33,19,15.67,15.67,26.67,30,21.53,24.57,23.33
大理花,2016,,,,,,,,,,,,,
聖誕紅,2016,,,,,,,,,,,,78.33,75
聖誕紅,2015,11.84,6.65,5.96,9.34,10.68,13.24,14.41,14.41,15.97,20.33,13.58,9.72,6.82
蘿蔔,2015,11.11,9.06,8.59,10.13,12.03,13.13,13.50,13.50,15.57,20.17,24,24.83,23.33
胡蘿蔔,2015,,,12.70,16.90,,,,,,,,,
牛蒡,2015,,,,,72.67,59.17,52.50,52.50,53.33,59.50,58.67,,
生薑,2015,54.73,58.62,50.22,48.33,48.07,65,70,70,80,91.67,71.67,73.33,51.67
生薑,2015,38.09,42.03,43.33,45,45,40,36,36,38.89,34.60,41.32,47.33,54.47
芋頭,2015,,,,113.99,108.64,85.96,84.75,84.75,68.15,87.30,78.56,,
綠竹筍,2015,,,,29.33,22.33,21.67,21.33,21.33,30.67,38.33,31.67,,
烏殼綠竹筍,2015,53,57.50,58.33,44.18,38,31.22,27.54,27.54,33.75,43.50,38.83,32.83,35.67
麻竹筍,2015,,,,27.64,26.83,,,,,,,,
桂竹筍,2015,,,,,27,25.50,,,,,,,
轎篙筍,2015,,,,,73.83,72.83,77.67,77.67,77.83,92.50,87.50,,
白蘆筍,2015,200,,105.83,100.83,77,94,97.58,97.58,102.92,111.11,105,,
綠蘆筍,2015,,85,63.33,60,45.33,63.33,76.67,76.67,65,66.67,75,65,
茭白筍,2015,9.89,5.38,,,,,,,,,,,
大芥菜,2015,24.47,20.41,19.72,17.83,17.43,17.97,18.50,18.50,19.90,22,23.83,24.50,21.35
馬鈴薯,2015,29.14,23.14,21.33,21.32,21.97,42.20,55.22,55.22,93.97,74.55,77.95,57.85,68.62
青蔥,2015,13.67,11.75,10.08,10.99,15.40,16.87,19.53,19.53,23.60,,,,19.33
洋蔥,2015,46.91,34.34,34.28,32.43,,,,,,,,,51
青蒜,2015,,72,56.75,49.56,48.45,53.21,58.09,58.09,63.33,65.68,67.34,71.03,71.79
蒜頭,2015,35.44,33.84,24.33,23,20,29,27.11,27.11,32.45,66.44,60.33,40.78,31.89
韭菜,2015,,,,,,,,,,,,,
韭黃,2015,42.28,25,22.03,23.16,17.59,25.73,19.14,19.14,34.85,45.05,36.73,27.24,33.11
蕹菜,2015,29.50,28.75,30.05,35.89,21.67,,,,,,,,
芹菜,2015,12.70,6.02,5,12.36,14.25,15.11,18.78,18.78,27.41,37.76,37.03,22.08,7.55
甘藍,2015,,,,,,,,,,,,,
甘藍芽,2015,21.20,15.59,14.61,17.19,15.17,32.58,19.42,19.42,48.50,51.67,34.33,23.77,16.83
小白菜,2015,15.41,8.84,14.44,15.17,10.50,27.67,13.50,13.50,40.67,50.33,31.33,19.42,14
青江白菜,2015,9.91,5.40,6.80,14.30,9.24,20.24,13.04,13.04,20.35,25.51,19.52,12.57,10.98
結球白菜,2015,22.46,11.70,13.93,27.62,,33.21,44.96,44.96,77.98,71.17,47.58,38.86,22.07
菠菜,2015,,,,,,,,,,,,,
芥藍,2015,31,,27,28.14,16.08,27.79,21.57,21.57,30.09,50.73,44.04,33.58,38.61
莧菜,2015,24.14,9.83,12.22,22.89,10.45,,,,,,,,
本島萵苣,2015,20.92,7.50,8.67,15.44,9.11,,,,,,,,
萵苣,2015,19,13.38,17.44,24,,,,,,,41.50,27.17,33.61
茼萵,2015,19.18,13.57,14.44,22.89,18.89,42.11,44,44,36.11,59,54.91,39.11,26.05
花椰菜,2015,28.39,16.95,14.62,23.70,,,,,,,,,
青花苔,2015,735,740.50,738.83,738,605.55,457.78,485.50,485.50,517.66,564.33,564.33,571,571
金針菜,2015,27.95,22.73,13.80,16.32,15.89,18.83,14.23,14.23,29.56,37.30,30.85,17.86,17.07
胡瓜,2015,33.34,33.75,27.17,29.50,21.92,30.79,24.63,24.63,36.61,53.50,44.08,32.39,28.71
花胡瓜,2015,10.33,9,13.63,12.28,9.63,8.33,13.33,13.33,13.67,20.70,18.87,21.32,12.67
冬瓜,2015,56.07,64.96,46.86,32.21,20.52,42.06,24.62,24.62,49.96,73.14,60.71,38.56,29.13
苦瓜,2015,,,,,,,,,,,,,
絲瓜,2015,27.43,19.89,22.03,20.74,15.81,25.92,19.99,19.99,33.74,37.42,34.40,25.41,24.30
絲瓜,2015,18.80,17.90,14,12.87,8.73,,,,,,36.33,16.33,14.30
扁蒲,2015,26.20,21.75,18.07,27.33,22.52,41.61,23.34,23.34,40,54.67,51.48,36.64,26.33
茄子,2015,21.75,19.10,12.97,14.59,27.67,48.33,41.96,41.96,36.37,52.95,63.17,47.06,30.13
番茄,2015,38.22,33.34,29.78,27.17,33.50,56.67,65,65,80,84.67,60,96.22,82.89
小蕃茄,2015,43.61,30.71,20.01,28.73,23.38,52.76,33.50,33.50,39.52,68.98,74.30,54.85,31.02
甜椒,2015,,,,14.73,10.45,12.38,16.67,16.67,,,,,
西瓜,2015,,,15.25,9.96,10.33,14.08,12.19,12.19,9.16,18.62,19,,
西瓜,2015,,,,,,,,,,,,,
西瓜,2015,31.17,41.63,42.16,43.18,38.04,32.04,32.33,32.33,29.78,39.11,35.42,37.67,28.33
洋香瓜,2015,,,52.50,45.72,33.91,35.81,38.28,38.28,35.51,35.58,41.24,38.50,
香瓜,2015,73.53,76.59,55.56,69.25,60.08,63.14,71.41,71.41,79.58,113.70,102.27,60.60,50.72
敏豆,2015,57.78,53.50,40.67,38.75,29,35.58,32.58,32.58,43.47,64.73,59.92,42.08,35.11
豇豆,2015,59.32,53.58,38.76,58.67,,,,,,,,89,65.66
豌豆,2015,48.50,42.75,31.33,49.33,,,,,,,,,
甜豌豆,2015,34.87,14.70,14.70,14.70,13.27,,,,,,,,
毛豆,2015,43.25,52.23,50.17,42.93,34.09,45.45,60.81,60.81,77.13,152.06,79.86,78.62,64.34
辣椒,2015,18.86,19.36,13.68,14.55,12.57,14.96,14.09,14.09,23.12,32.17,27.68,23.18,24.07
甜玉米,2015,70.83,,,,,,,,46.67,48.33,46.67,100,83
蓮藕,2015,237.78,253.34,146.89,114,,,,,,,,,155
草莓,2015,86.22,77.50,82.45,128.33,102.50,120,93.33,93.33,100,113.33,140,111.89,96.11
洋菇,2015,1495.83,1555,1420.83,1367.50,1390,1379.17,1340.83,1340.83,1272.50,1258.33,1236.67,1210.83,1202.50
香菇,2015,104.55,106.84,99.56,94.33,94.11,95.33,93.78,93.78,90.67,91,90.89,89.22,86.89
香菇,2015,65.17,61,55.83,50.67,47.33,40,39.67,39.67,58,67.33,56,56,53.52
木耳,2015,,,,,,,,,,,,,
鮑魚菇,2015,,,,,,80,83.33,83.33,86.33,90,91.67,92.22,86.45
杏鮑菇,2015,15.33,24,25.33,19.50,,,,,,20,21.56,22.28,21.55
葡萄柚,2015,,,77.50,57.54,58.50,36.96,,,,,,,
芒果,2015,,,,86.83,79.72,45.67,29.64,29.64,46.11,,,,
芒果,2015,,,,,50,28.90,17.87,17.87,29.36,,,,
芒果,2015,,,,,,,,,,,,,
番石榴,2015,,,,,,,,,,,,,
番石榴,2015,26.13,25.54,12.09,11.91,17.52,28.18,18.31,18.31,37.32,43.28,44.37,40.52,48.34
番石榴,2015,56.13,52.83,50.30,42.99,45.33,35,,,,,,63.14,67.50
蓮霧,2015,,,170,142.64,,,,,,,,,
枇杷,2015,,,,,,25.79,19.80,19.80,,,,,
荔枝,2015,,,,,77.69,55.21,,,,,,,
荔枝,2015,,,,,,,41.08,41.08,41.52,59.59,,,
龍眼,2015,57.07,44.52,38.80,,,,,,,,,,62.98
棗子,2015,59.56,65.67,64.72,,,,61,61,55.33,58.54,64.83,62.76,62.37
番荔枝,2015,26,17,18.72,17.83,,,,,35,37.50,41.17,38.33,31.67
楊桃,2015,,,,,,69,48.11,48.11,50.33,73.81,82.33,97,93
酪梨,2015,5.99,5.54,5.89,5.34,6.23,6.25,6.58,6.58,7.06,6.58,6.50,6.38,5.75
椰子,2015,1.08,1.92,2.33,2.60,3.96,3.75,0.93,0.93,1.35,1.16,0.75,0.60,0.63
檳榔,2015,28.11,19.03,19.51,24.37,18.34,15.69,17.18,17.18,32.35,42.24,50.74,63.99,47.60
木瓜,2015,,,,,,66.33,55.83,55.83,49.17,53.83,48.60,48,45.33
百香果,2015,29.44,30.09,25.44,15.32,16.06,15.59,17.81,17.81,29.53,44.68,49.33,48.43,45.89
香蕉,2015,29.44,30.09,25.44,15.32,16.06,15.59,17.81,17.81,29.53,44.68,49.33,48.43,45.89
鳳梨,2015,20.75,26.42,22.02,23.24,24.86,17.21,17.37,17.37,21.65,25.89,27.33,25,27.17
鳳梨,2015,,,,,91.67,62.92,28.92,28.92,47.92,54.16,61.42,70.04,
紅龍果,2015,36.56,40.50,,,,,,,,,35.85,32.33,32.40
椪柑,2015,43.61,45.56,38.94,,,,,,,,,,
桶柑,2015,,,,,,,,,24.75,48.21,,,
文旦,2015,18.48,20.34,20.60,,,,,,,,20.13,18.78,19.34
柳橙,2015,43.47,47.59,41.38,40.31,35.95,40.24,24.87,24.87,12.73,15.17,28,47.35,35.17
檸檬,2015,30.58,30.20,,,,,,,,,,,
海梨柑,2015,48.61,59.66,57,62.17,,,,,,,,,
茂谷柑,2015,40.33,41,42.67,,,,,,,,,,39.85
金柑,2015,,,,,,,,,,,,,
李,2015,,,,,50,47.50,,,,,,,
李,2015,,,,,,24,,,,,,,
鶯歌桃,2015,,,,42.67,43.67,,,,,,,,
甜桃,2015,,,,,,,68.19,68.19,74.78,,,,
水蜜桃,2015,,,,,,,,,,28.75,26.65,30,
牛心柿,2015,,,,,,,,,,,81.74,79.03,77.50
甜柿,2015,,,,,,,,,17.13,32.38,34.28,,
紅柿,2015,,,30,40.46,36.17,,,,,,,,
青梅,2015,,,,15.52,,,,,,,,,
青梅,2015,,,,,,,50,50,42.50,22.50,,,
橫山梨,2015,,,,,,,,,46,63.33,,,
新世紀梨,2015,,,,,,56.84,79.90,79.90,,,,,
豐水梨,2015,,,,,,,,,,,,,
幸水梨,2015,,,,,,,39.38,39.38,41.43,48.67,,,
新興梨,2015,61.11,52.50,51.67,55,71.67,65.55,51.62,51.62,64.92,85.17,89.67,72.06,69.37
巨峰葡萄,2015,54.73,54.74,54.85,54.69,53.67,50.50,50.88,50.88,51.70,52.50,54.70,67.88,72
落花生,2015,64.53,60.67,,,,,,,,,,,66.25
紅豆,2015,80.17,80.25,80.33,80.17,88.42,90.17,80.33,80.33,80.50,80.33,80.33,80.50,
綠豆,2015,12.46,12.09,8.74,9.34,8.30,10.41,11.20,11.20,16.85,22.05,25.42,30.09,29.42
甘藷,2015,,,150,256.26,232.61,163.58,130.33,130.33,147,144.86,233.70,280.21,
烏龍茶菁,2015,,,,82.72,88.88,80.55,69.43,69.43,59.43,61.93,65.33,66.33,
烏龍茶菁,2015,,,125.33,152.78,144.12,106.33,71.33,71.33,75,95,121.84,149.98,
金萱茶菁,2015,,,40,54.11,47.74,42.99,42.43,42.43,42.73,44.62,46.89,56.94,
金萱茶菁,2015,,,,,580,536.67,566.17,566.17,566.75,564,540,,
蓮子,2015,14,13.82,11.86,12.19,10.10,10.27,10.42,10.42,10.23,11.42,12.32,11.95,11.15
紅甘蔗,2015,219.71,225,220,220,209.61,210.53,210,210,210,210,210,210,227.02
芝麻,2015,8.24,8.19,7.64,8,7.04,6.45,7.75,7.75,7.74,4.68,4.78,4.30,4.25
文心蘭,2015,4.45,5.84,5.44,5.84,6.83,8,10.33,10.33,9.67,9.23,8.17,8.47,8.89
菊花,2015,5.46,8.78,5.42,2.90,4.94,5.29,4.59,4.59,4.14,3.50,6.18,3.64,4.77
玫瑰,2015,13.26,13.85,12.07,12.48,9.35,9.47,10.56,10.56,12.28,10.65,11.20,10.22,10.72
火鶴,2015,3.28,3.75,2.03,2.50,2.52,4.78,3.78,3.78,5.54,6.91,5.56,3.15,3.85
非洲菊,2015,89.83,79.05,37.38,43.57,69.87,72.02,70.45,70.45,81.90,108,135.88,95.92,61.50
滿天星,2015,73.33,105,61.67,28.67,43.33,75,41.67,41.67,58,80,81.67,76.67,45
卡斯比亞,2015,,,,,,,,,,,,,
香石竹,2015,3.58,4.50,2.76,2.79,4.11,3.67,4.33,4.33,3.42,4.58,5.42,5.28,4.12
香石竹,2015,12.67,13.50,6,5.67,9.33,13,7.67,7.67,9.33,8,12.33,9,11.33
天堂鳥,2015,6,7.25,5.33,6.67,4.83,4,4.50,4.50,5.17,5.33,6,4.33,3.50
